Dispatch_ID,GPU_ID,Queue_ID,PID,TID,Grid_Size,Workgroup_Size,LDS_Per_Workgroup,Scratch_Per_Workitem,Arch_VGPR,Accum_VGPR,SGPR,Wave_Size,Kernel_Name,Start_Timestamp,End_Timestamp,Correlation_ID,SQ_LDS_BANK_CONFLICT,LDSBankConflict
42,2,1,423332,423332,16777216,256,0,0,12,4,32,64,"void at::native::vectorized_elementwise_kernel<4, at::native::FillFunctor<int>, std::array<char*, 1ul>>(int, at::native::FillFunctor<int>, std::array<char*, 1ul>) (.kd)",1161089905967501,1161089906019821,0,0.000000,0.000000
43,2,1,423332,423332,1572864,128,32768,12,128,384,112,64,"attn_fwd.kd",1161089906075228,1161089925044806,0,204472320.000000,0.263322
44,2,1,423332,423332,16777216,256,0,0,12,4,32,64,"void at::native::vectorized_elementwise_kernel<4, at::native::FillFunctor<int>, std::array<char*, 1ul>>(int, at::native::FillFunctor<int>, std::array<char*, 1ul>) (.kd)",1161089925406714,1161089925457831,0,0.000000,0.000000
45,2,1,423332,423332,1572864,128,32768,12,128,384,112,64,"attn_fwd.kd",1161089925513255,1161089944472128,0,204472320.000000,0.263595
46,2,1,423332,423332,16777216,256,0,0,12,4,32,64,"void at::native::vectorized_elementwise_kernel<4, at::native::FillFunctor<int>, std::array<char*, 1ul>>(int, at::native::FillFunctor<int>, std::array<char*, 1ul>) (.kd)",1161089944841572,1161089944893852,0,0.000000,0.000000
47,2,1,423332,423332,1572864,128,32768,12,128,384,112,64,"attn_fwd.kd",1161089944991435,1161089963989999,0,204472320.000000,0.264292
48,2,1,423332,423332,1572864,128,32768,12,128,384,112,64,"attn_fwd.kd",1161089964278580,1161089983249280,0,204472320.000000,0.265173
49,2,1,423332,423332,16777216,256,0,0,12,4,32,64,"void at::native::vectorized_elementwise_kernel<4, at::native::FillFunctor<int>, std::array<char*, 1ul>>(int, at::native::FillFunctor<int>, std::array<char*, 1ul>) (.kd)",1161089983612270,1161089983663788,0,0.000000,0.000000
50,2,1,423332,423332,1572864,128,32768,12,128,384,112,64,"attn_fwd.kd",1161089983734991,1161090002700359,0,204472320.000000,0.264457
51,2,1,423332,423332,16777216,256,0,0,12,4,32,64,"void at::native::vectorized_elementwise_kernel<4, at::native::FillFunctor<int>, std::array<char*, 1ul>>(int, at::native::FillFunctor<int>, std::array<char*, 1ul>) (.kd)",1161090003069123,1161090003120681,0,0.000000,0.000000
52,2,1,423332,423332,1572864,128,32768,12,128,384,112,64,"attn_fwd.kd",1161090003178973,1161090022070972,0,204472320.000000,0.264937
53,2,1,423332,423332,16777216,256,0,0,12,4,32,64,"void at::native::vectorized_elementwise_kernel<4, at::native::FillFunctor<int>, std::array<char*, 1ul>>(int, at::native::FillFunctor<int>, std::array<char*, 1ul>) (.kd)",1161090022445509,1161090022498991,0,0.000000,0.000000
54,2,1,423332,423332,1572864,128,32768,12,128,384,112,64,"attn_fwd.kd",1161090022556603,1161090041502326,0,204472320.000000,0.264788
55,2,1,423332,423332,16777216,256,0,0,12,4,32,64,"void at::native::vectorized_elementwise_kernel<4, at::native::FillFunctor<int>, std::array<char*, 1ul>>(int, at::native::FillFunctor<int>, std::array<char*, 1ul>) (.kd)",1161090041876422,1161090041929142,0,0.000000,0.000000
56,2,1,423332,423332,1572864,128,32768,12,128,384,112,64,"attn_fwd.kd",1161090041980861,1161090061047901,0,204472320.000000,0.264156
57,2,1,423332,423332,16777216,256,0,0,12,4,32,64,"void at::native::vectorized_elementwise_kernel<4, at::native::FillFunctor<int>, std::array<char*, 1ul>>(int, at::native::FillFunctor<int>, std::array<char*, 1ul>) (.kd)",1161090061412937,1161090061465256,0,0.000000,0.000000
58,2,1,423332,423332,1572864,128,32768,12,128,384,112,64,"attn_fwd.kd",1161090061516814,1161090080399353,0,204472320.000000,0.264427
